numero_de_dossier,annee_budgetaire,nom_beneficiaire,numero_siret,objet_du_dossier,montant_vote,direction,nature_de_la_subvention,secteurs_d_activites_definies_par_l_association
2023_10310,2023,ASSOCIATION DES COMMERÇANTS DU GROS CAILLOU,84313200000000.0,PARIS ILLUMINE PARIS,4900.0,DAE,Fonctionnement,['vie et animation locale']
2023_02102,2023,ASSOCIATION SPORTIVE DE LA POLICE DE PARIS (ASPP),77568100000000.0,Fonctionnement 2023,1000.0,DJS,Fonctionnement,['sport']
2023_01849,2023,ASSOCIATION SPORTIVE DU COLLEGE FRANÇOIS VILLON,44806400000000.0,Subvention pour fonctionnement Association Sportive sur une année,1000.0,DJS,Fonctionnement,['sport']
2023_06701,2023,CANAL MARCHES,41205100000000.0,CPO SECA - L¿université Populaire Audiovisuelle à Belleville-Amandiers 2022,3000.0,DAC,Projet,['education & formation']
2023_10246,2023,FEDERATION FRANÇAISE D'HALTEROPHILIE - MUSCULATION - FFHM,43811700000000.0,Participation de la FFHM au salon FITEX 2023,5000.0,DJS,Fonctionnement,['sport']
2023_03667,2023,INTERNATIONAL VISUAL THEATRE IVT,32418200000000.0,Acompte 2023 DAC,125000.0,DAC,Fonctionnement,['culture & arts']
2023_01684,2023,L'AQUILONE,43495300000000.0,VVV - Découverte et Initiation à la Danse Contemporaine avec Musique Vivante (Kellermann et 13è Sud,1000.0,DPMP,Projet,['sport']
2023_04971,2023,LE BUS DES FEMMES,39905000000000.0,Participation au remplacement du bus de prévention du Bus des Femmes en un véhicule tout électrique,15256.0,DSP,Investissement,['social']
2023_00065,2023,LES FILS DES MORTS POUR LA FRANCE LES FILS DES TUES D'ILE DE FRANCE PARIS,78436200000000.0,Subvention de fonctionnement et aides financières,400.0,DAC,Fonctionnement,['mémoire']
2024_00518,2023,MENILMONTANT PARIS SPORTS,77569600000000.0,Education par le Sport 2023/24,11500.0,DASCO,Projet,['sport']
2023_10402,2023,QUOKKA C'EST + FACILE D'ETRE PARENT D'ADO !,82540800000000.0,Vis ta com' en miroir/APA23,4300.0,DFPE,Projet,['education & formation']
2023_00571,2023,SAVOIR APPRENDRE,41406600000000.0,VVV 2023_Tatane_Stages scientifiques et numériques à Fontaine au Roi,825.0,DPMP,Projet,['education & formation']
2023_10524,2023,UNION DES COMMERCANTS INDUSTRIELS ARTISANS ET PRESTATAIRES DE SERVICES DU VIIEME ARRONDISSEMENT UCIAP 7EME,42379400000000.0,PARIS ILLUMINE PARIS,1500.0,DAE,Fonctionnement,['vie et animation locale']
2022_09770,2022,ASSOCIATION DES COMMERÇANT DU QUARTIER JARDIN DES PLANTE,90437900000000.0,ILLUMINATION DE NOEL 2022,1000.0,DAE,Fonctionnement,none
2022_04825,2022,AXES PLURIELS,40292500000000.0,CPO SPV-Atelier socio linguistique pour les habitants et les travailleurs du Xème arrondissement,3000.0,DDCT,Projet,none
2022_03069,2022,BENKADI - ASSOCIATION DE FEMMES ET FAMILLES AFRICAINES DU XXEME- AFEMA 20,44355600000000.0,"Fonctionnement:Animation et vie locale, pouvoir d'agir dans nos quartiers, lien social, solidarité",1500.0,DDCT,Fonctionnement,none
